1030774.14599999995,793459.1393999999855
1035089.930999999982,800125.9024000000209
1015376.597999999998,794672.3220000000438
994864.7691000000341,797746.1570999999531
983622.8734000000404,802198.2386999999871
964585.1972000000533,794672.8175999999512
966402.7415999999503,800761.7754000000423
941676.7691000000341,793690.685999999987
885179.6421000000555,800193.765800000052
883744.7107000000542,780552.7602000000188
878901.8253999999724,784409.5651000000071
877542.9342000000179,759658.9013999999734
822328.2894999999553,761010.4059000000125
820532.9877000000561,731331.1371000000509
844971.0733999999939,721008.7981000000145
867196.1585000000196,716992.1960999999428
873142.0054000000237,702460.9710000000196
881588.640000000014,706964.6287999999477
895030.9192000000039,697710.5929999999935
922211.4324000000488,690861.3525000000373
941162.8654000000097,656579.9730999999447
927955.5304999999935,660025.7449999999953
925460.5067999999737,653552.8347000000067
943700.7700999999652,627870.3046999999788
946985.4172999999719,576542.9111000000266
932295.9697999999626,561366.4799999999814
932448.6818000000203,548490.3340000000317
926592.0113000000129,531922.6154999999562
912591.5211999999592,529827.8166999999667
909212.4505999999819,499418.1042000000016
915636.4479999999749,490730.9962999999989
935431.657600000035,485724.343200000003
947185.3556000000099,507886.2815999999875
958576.0365999999922,534682.205100000021
972548.8630000000121,539067.0982000000076
975375.3654000000097,548846.8523999999743
996185.4499999999534,542290.3965000000317
1009375.934000000008,518633.882500000007
1014686.226999999955,492790.3304999999818
1021285.427000000025,476788.0263999999734
1025821.557999999961,453001.2307000000146
1034996.248999999953,430006.4834000000264
1053453.273000000045,435829.9658000000054
1069155.446999999927,461607.2385999999824
1073561.073000000091,462895.171399999992
1085013.054999999935,476726.4124999999767
1069518.054000000004,566621.3771000000415
1075523.941000000108,575025.1234000000404
1078950.837999999989,602781.5651999999536
1086757.628000000026,605773.1358000000473
1094059.391000000061,630686.8782000000356
1090495.966000000015,651815.8292000000365
1071219.083000000101,680774.7515999999596
1048775.226999999955,701190.8987000000197
1071164.253000000026,700650.2776000000304
1078019.861000000034,706471.7765000000363
1087425.919999999925,675826.1705000000075
1107484.280999999959,667397.0254999999888
1106876.154000000097,682655.622699999949
1111179.236999999965,656015.748799999943
1119629.989999999991,656634.8969999999972
1119551.060000000056,628247.3967000000412
1128690.737999999896,648288.0561000000453
1141946.014999999898,649532.7084000000032
1143572.581000000006,637684.2898999999743
1184884.064000000013,627229.8852999999654
1189458.854999999981,636042.5962000000291
1187872.925999999978,656334.3754999999655
1174462.318999999901,660815.8366999999853
1185282.976000000024,679133.0424000000348
1193950.905000000028,663720.3092000000179
1213886.485000000102,665820.373499999987
1202988.415000000037,669672.8203000000212
1193531.790000000037,684746.2887000000337
1171314.192000000039,700758.6145999999717
1180246.502000000095,709689.0662000000011
1158853.250999999931,718309.4137999999803
1158740.108000000007,729592.0209999999497
1143163.817000000039,736290.3730000000214
1142078.379999999888,754691.2114000000292
1135426.029000000097,749666.0302000000374
1104785.834000000032,791141.3821999999927
1094513.307999999961,786318.1779000000097
1092230.33899999992,787843.9653000000399
1093385.222999999998,787861.5603999999585
1093169.073000000091,787372.3418999999994
1093549.176999999909,787883.1071000000229
1092013.439000000013,787841.2813000000315
1092453.628000000026,794781.1452999999747
1092080.000999999931,790406.9701999999816
1092125.42200000002,790627.8468000000576
1092107.804000000004,790635.7384000000311
1092121.747999999905,790795.3358000000007
1092138.085999999894,790320.6526000000304
1082946.919999999925,786986.376900000032
1038107.920999999973,789624.2700000000186
1051140.902999999933,796461.7360000000335
1040062.307999999961,801940.5505999999586
1035468.030999999959,787993.2258000000147
