1455072.506400000071,-1372428.506599999964
1455048.160600000061,-1372429.884499999927
1455042.993899999885,-1372431.360899999971
1455038.708000000101,-1372430.781399999978
1454991.948099999921,-1372449.164399999892
1454918.1054,-1372485.299899999984
1454897.206299999962,-1372493.140700000105
1454892.452400000067,-1372497.088599999901
1454862.908499999903,-1372510.779799999902
1454839.675899999915,-1372518.997999999905
1454837.636500000022,-1372521.23359999992
1454810.332600000082,-1372533.929500000086
1454776.014200000092,-1372547.752400000114
1454731.078100000042,-1372558.841100000078
1454675.302200000035,-1372565.942800000077
1454670.910200000042,-1372564.747599999886
1454634.912999999942,-1372571.843700000085
1454610.767699999968,-1372574.460999999894
1454605.66519999993,-1372565.102100000018
1454597.947900000028,-1372561.883300000103
1454593.923100000015,-1372555.536499999929
1454582.330099999905,-1372531.928000000073
1454577.193900000071,-1372534.957699999912
1454571.93339999998,-1372538.061500000069
1454586.388800000073,-1372568.212499999907
1454581.835399999982,-1372573.400799999945
1454584.48179999995,-1372597.18339999998
1454567.552799999947,-1372599.921799999895
1454552.764100000029,-1372604.859900000039
1454534.820199999958,-1372619.860000000102
1454527.552099999972,-1372626.760400000028
1454517.185400000075,-1372640.542499999981
1454515.694900000002,-1372653.513800000073
1454511.866900000023,-1372666.878599999938
1454500.653600000078,-1372664.232899999944
1454489.09440000006,-1372670.561999999918
1454476.179599999916,-1372679.664099999936
1454470.179800000042,-1372686.984200000064
1454464.860000000102,-1372694.857800000114
1454457.052600000054,-1372713.310199999949
1454452.849600000074,-1372731.820000000065
1454428.409299999941,-1372751.072300000116
1454421.596600000048,-1372753.44709999999
1454416.853799999924,-1372757.385199999902
1454409.013499999885,-1372768.212400000077
1454377.569799999939,-1372792.393099999987
1454368.089300000109,-1372785.65559999994
1454363.114300000016,-1372784.546899999958
1454358.661599999992,-1372790.359100000001
1454353.707799999975,-1372793.073600000003
1454345.945899999933,-1372800.693999999901
1454341.286300000036,-1372801.455300000031
1454336.67109999992,-1372795.188499999931
1454331.567700000014,-1372785.821999999927
1454325.911199999973,-1372784.190799999982
1454301.700600000098,-1372793.830899999943
1454291.642900000094,-1372768.716400000034
1454288.959000000032,-1372755.772200000007
1454283.272600000026,-1372746.492199999979
1454276.71390000009,-1372739.282200000016
1454269.786499999929,-1372737.216000000015
1454265.071699999971,-1372730.332699999912
1454257.884199999971,-1372734.041100000031
1454260.84719999996,-1372741.207699999912
1454258.748099999968,-1372750.458300000057
1454280.039300000062,-1372804.347099999897
1454260.904600000009,-1372815.719899999909
1454253.665999999968,-1372830.268699999899
1454236.66929999995,-1372840.014999999898
1454223.593499999959,-1372855.507699999958
1454218.156399999978,-1372858.925300000003
1454200.350799999898,-1372863.710299999919
1454179.035600000061,-1372865.25139999995
